model,step,config_name,segments,precision,accuracy,status,log_file
deit-base,1,torch,N/A,FP32,83.32,OK,test_exp3_1_torch_deit-base.log
deit-base,2,sm-pwl,16,FP32,83.28,OK,test_exp3_2_sm-pwl_deit-base_16.log
deit-base,3,act-pwl,16,FP32,82.9,OK,test_exp3_3_act-pwl_deit-base_16.log
deit-base,4,both-pwl-float,16,FP32,82.88,OK,test_exp3_4_both-pwl-float_deit-base_16.log
deit-base,5,both-pwl-fixed,16,FP32,82.97,OK,test_exp3_5_both-pwl-fixed_deit-base_16.log
deit-small,1,torch,N/A,FP32,81.17,OK,test_exp3_1_torch_deit-small.log
deit-small,2,sm-pwl,16,FP32,81.21,OK,test_exp3_2_sm-pwl_deit-small_16.log
deit-small,3,act-pwl,16,FP32,81.11,OK,test_exp3_3_act-pwl_deit-small_16.log
deit-small,4,both-pwl-float,16,FP32,81.16,OK,test_exp3_4_both-pwl-float_deit-small_16.log
deit-small,5,both-pwl-fixed,16,FP32,81.11,OK,test_exp3_5_both-pwl-fixed_deit-small_16.log
deit-tiny,1,torch,N/A,FP32,74.53,OK,test_exp3_1_torch_deit-tiny.log
deit-tiny,2,sm-pwl,16,FP32,74.47,OK,test_exp3_2_sm-pwl_deit-tiny_16.log
deit-tiny,3,act-pwl,16,FP32,74.55,OK,test_exp3_3_act-pwl_deit-tiny_16.log
deit-tiny,4,both-pwl-float,16,FP32,74.43,OK,test_exp3_4_both-pwl-float_deit-tiny_16.log
deit-tiny,5,both-pwl-fixed,16,FP32,74.37,OK,test_exp3_5_both-pwl-fixed_deit-tiny_16.log
swin-base,1,torch,N/A,FP32,85.12,OK,test_exp3_1_torch_swin-base.log
swin-base,2,sm-pwl,16,FP32,85.11,OK,test_exp3_2_sm-pwl_swin-base_16.log
swin-base,3,act-pwl,16,FP32,85.08,OK,test_exp3_3_act-pwl_swin-base_16.log
swin-base,4,both-pwl-float,16,FP32,85.05,OK,test_exp3_4_both-pwl-float_swin-base_16.log
swin-base,5,both-pwl-fixed,16,FP32,85.05,OK,test_exp3_5_both-pwl-fixed_swin-base_16.log
swin-small,1,torch,N/A,FP32,83.2,OK,test_exp3_1_torch_swin-small.log
swin-small,2,sm-pwl,16,FP32,83.2,OK,test_exp3_2_sm-pwl_swin-small_16.log
swin-small,3,act-pwl,16,FP32,83.24,OK,test_exp3_3_act-pwl_swin-small_16.log
swin-small,4,both-pwl-float,16,FP32,83.23,OK,test_exp3_4_both-pwl-float_swin-small_16.log
swin-small,5,both-pwl-fixed,16,FP32,83.24,OK,test_exp3_5_both-pwl-fixed_swin-small_16.log
vit-base,1,torch,N/A,FP32,81.66,OK,test_exp3_1_torch_vit-base.log
vit-base,2,sm-pwl,16,FP32,81.69,OK,test_exp3_2_sm-pwl_vit-base_16.log
vit-base,3,act-pwl,16,FP32,81.69,OK,test_exp3_3_act-pwl_vit-base_16.log
vit-base,4,both-pwl-float,16,FP32,81.7,OK,test_exp3_4_both-pwl-float_vit-base_16.log
vit-base,5,both-pwl-fixed,16,FP32,81.61,OK,test_exp3_5_both-pwl-fixed_vit-base_16.log
vit-small,1,torch,N/A,FP32,81.4,OK,test_exp3_1_torch_vit-small.log
vit-small,2,sm-pwl,16,FP32,81.37,OK,test_exp3_2_sm-pwl_vit-small_16.log
vit-small,3,act-pwl,16,FP32,81.41,OK,test_exp3_3_act-pwl_vit-small_16.log
vit-small,4,both-pwl-float,16,FP32,81.4,OK,test_exp3_4_both-pwl-float_vit-small_16.log
vit-small,5,both-pwl-fixed,16,FP32,81.3,OK,test_exp3_5_both-pwl-fixed_vit-small_16.log
vit-tiny,1,torch,N/A,FP32,75.51,OK,test_exp3_1_torch_vit-tiny.log
vit-tiny,2,sm-pwl,16,FP32,75.44,OK,test_exp3_2_sm-pwl_vit-tiny_16.log
vit-tiny,3,act-pwl,16,FP32,75.51,OK,test_exp3_3_act-pwl_vit-tiny_16.log
vit-tiny,4,both-pwl-float,16,FP32,75.42,OK,test_exp3_4_both-pwl-float_vit-tiny_16.log
vit-tiny,5,both-pwl-fixed,16,FP32,75.17,OK,test_exp3_5_both-pwl-fixed_vit-tiny_16.log
